番号,俳句,季語,季節
3117,ごたごたと竝べたてたり魂祭,魂祭,夏
3118,聖靈やすこし後から女だち,魂祭,夏
3119,魂祭團子をくへといはれけり,魂祭,夏
3120,魂祭蜩鳴いて夕なり,魂祭,夏
3121,花嫁のうゐうゐしくも魂祭,魂祭,夏
3122,貧乏を見せじと人の魂祭,魂祭,夏
3123,孫共か物見に來るよ魂祭,魂祭,夏
3124,孫共が拜みに來るよ魂祭,魂祭,夏
3125,無縁樣の供物すつれば鴉鳴く,魂祭,夏
3126,我病んで魂祭るべくもあらぬ身よ,魂祭,夏
3127,晝飯は精進鮓や魂祭,魂祭,夏
3128,雨の夜はおくれ給はん魂迎,魂迎え,夏
3129,過去帳を讀み申さんか魂迎,魂迎え,夏
3130,迎火をもやひにたくや三軒家,迎火,夏
3131,迎火や父に似た子の頬の明り,迎火,夏
3132,いちはやく迎火焚きし隣哉,迎火,夏
3133,撫子に迎火映る小庭哉,迎火,夏
3134,迎火の消えて人來るけはひ哉,迎火,夏
3135,迎火や心いそぎの夕間暮,迎火,夏
3136,迎火や墓は故郷家は旅,迎火,夏
3137,夕餉はてゝ迎火を焚くいそぎ哉,迎火,夏
3138,棚経や小僧面白さうに讀む,棚経,秋
3139,魂棚や何はあれとも白團子,魂棚,夏
3140,魂棚や壁のひまもる夕つく日,魂棚,夏
3141,魂棚に壁のひま漏る夕日哉,魂棚,夏
3142,魂棚やいくさを語る人二人,魂棚,夏
3143,魂棚やいくさを語る後家二人,魂棚,夏
3144,魂棚の火を吹き消しぬ夕嵐,魂棚,夏
3145,魂棚に團子供へて拜みけり,魂棚,夏
3146,生身玉其又親も達者なり,生見玉,新年
3147,生身魂我は芋にて祭られん,生見玉,新年
3148,生身魂七十と申し達者也,生見玉,新年
3149,五ツ子やあはれ笠きる墓參り,墓参,夏
3150,神主や烏帽子のまゝの墓參,墓参,夏
3151,長崎や三味線提げて墓參,墓参,夏
3152,舟借りて行くや小嶋の墓參,墓参,夏
3153,家族從者十人許り墓參,墓参,夏
3154,石ころで花いけ打や墓參,墓参,夏
3155,とかくして月になりけり大文字,大文字,夏
3156,大文字をのぞいて出たり山の月,大文字,夏
3157,夜の露もえて音あり大文字,大文字,夏
3158,弘法の投筆かなに大文字,大文字,夏
3159,大文字に片頬まばゆき往來哉,大文字,夏
3160,風吹て廻り燈籠の浮世かな,走馬燈,夏
3161,同し事を走馬燈のまはりけり,走馬燈,夏
3162,同じ事を廻燈籠のまはりけり,走馬燈,夏
3163,灯をともす女なまめく切籠哉,切籠,冬
3164,窓の内に切籠をともす嵐かな,切籠,冬
3165,燈籠も交喙のはしとかわりけり,燈籠,夏
3166,薄絹に燈籠の火の朧かな,燈籠,夏
3167,うつくしき燈籠の猶哀れ也,燈籠,夏
3168,鎌倉に燈籠くらき夕かな,燈籠,夏
3169,傾城の燈籠のぞくや寶巖寺,燈籠,夏
3170,權助も燈籠になれば哀れ也,燈籠,夏
3171,燈籠に大小のある親子哉,燈籠,夏
3172,燈籠に人一人のかるさかな,燈籠,夏
3173,燈籠の朧に松の月夜かな,燈籠,夏
3174,燈籠の戒名習ふ子供かな,燈籠,夏
3175,燈籠の消へて泣きだすやも女哉,燈籠,夏
3176,燈籠の竹にうつろふすごさ哉,燈籠,夏
3177,燈籠の火に音たてゝ秋の風,燈籠,夏
3178,燈籠やそよ吹く風の何とやら,燈籠,夏
3179,燈籠を見かけて馬子のたまりけり,燈籠,夏
3180,とこやらに稻妻はしる燈籠哉,燈籠,夏
3181,何處やらを稻妻走る燈籠哉,燈籠,夏
3182,なき人もかたさまざまの燈籠哉,燈籠,夏
3183,母さまといはれておがむ燈籠哉,燈籠,夏
3184,母樣もいはれて拜む燈籠哉,燈籠,夏
3185,家根の上にどこの哀れぞ揚燈籠,燈籠,夏
3186,家根の上に何處の哀や揚燈籠,燈籠,夏
3187,藪かげは誰か買ふて行く燈ろう哉,燈籠,夏
3188,籔陰を誰がさげて行く燈籠哉,燈籠,夏
3189,籔陰を誰がよそ行くや燈籠哉,燈籠,夏
3190,をさな子のつることいそぐ燈籠哉,燈籠,夏
3191,あらびをのはてハやさしき燈籠哉,燈籠,夏
3192,うつゝともなき燈籠や松の陰,燈籠,夏
3193,こゝも亦燈籠店のさわぎ哉,燈籠,夏
3194,燈籠のかげに網すく苫家哉,燈籠,夏
3195,燈籠の火消えなんとす此夕,燈籠,夏
3196,燈籠や小雨ふる夜の窓明り,燈籠,夏
3197,灯の消えて闇路をめぐる灯籠哉,燈籠,夏
3198,ほんやりと燈籠うつる小窓哉,燈籠,夏
3199,われ死なばどんな燈籠を願ふべし,燈籠,夏
3200,われ死なばどんな燈籠を願ふべき,燈籠,夏
3201,孝行のしたい頃には燈籠哉,燈籠,夏
3202,垣ごしに見ゆる隣の燈籠哉,燈籠,夏
3203,賤が檐端干魚燈籠蕃椒,燈籠,夏
3204,たはれ男の遊君祭る燈籠哉,燈籠,夏
3205,たをやめの足もと暗き燈籠哉,燈籠,夏
3206,燈籠をともして留守の小家哉,燈籠,夏
3207,人呼ぶや燈籠竝べし道の端,燈籠,夏
3208,尼の子の燈籠に遊ぶあはれ也,燈籠,夏
3209,うつくしき燈籠掛けたり竹の奧,燈籠,夏
3210,去年よりちいさき燈籠吊しけり,燈籠,夏
3211,傾城の猶うつくしき燈籠哉,燈籠,夏
3212,子を負ふてかるた貼り居る燈籠哉,燈籠,夏
3213,しょんぼりと燈籠白し草の奥,燈籠,夏
3214,燈籠にさはらんとする芭蕉哉,燈籠,夏
3215,燈籠に灯ともさぬ家の端居哉,燈籠,夏
3216,燈籠の主が達者で居られたら,燈籠,夏
3217,燈籠の門を叩くや女馬士,燈籠,夏
3218,燈籠二つかけて淋しき大家哉,燈籠,夏
3219,燈籠や椽を這ひ居る蟋蟀,燈籠,夏
3220,燈籠を二つかけたる小家かな,燈籠,夏
3221,亡き妻や燈籠の陰に裾をつかむ,燈籠,夏
3222,墓原に隣る小家の燈籠哉,燈籠,夏
3223,疫ありて燈籠多き小村哉,燈籠,夏
3224,里川や燈籠提けて渉る人,燈籠,夏
3225,里川や燈籠をさげて渡る人,燈籠,夏
3226,淋しさは燈籠かけたる二階哉,燈籠,夏
3227,雪院へ通ふ廊下の燈籠哉,燈籠,夏
3228,雪院へ行かんとすれば燈籠哉,燈籠,夏
3229,灯籠消えて芭蕉に風の渡る音,燈籠,夏
3230,燈籠の岐阜提灯と竝ひけり,燈籠,夏
3231,燈籠のぽっと消えけり夜半の窓,燈籠,夏
3232,燈籠見えて小徑盡たり八重葎,燈籠,夏
3233,燈籠を得ねぎらぬもあはれなり,燈籠,夏
3234,萩垣や萩の葉隱れ釣燈籠,燈籠,夏
3235,人聲や燈籠見ゆる低き垣,燈籠,夏
3236,吉原の燈籠見による酒の醉,燈籠,夏
3237,草の雨燈籠さげて通りけり,燈籠,夏
3238,燈籠に夜半の喧嘩や仲の町,燈籠,夏
3239,燈籠の夜に見初めたる遊女哉,燈籠,夏
3240,吉原の燈籠見による月夜哉,燈籠,夏
3241,吉原や燈籠の花人の花,燈籠,夏
3242,燈籠さげて橋行く人や水の影,燈籠,夏
3243,墨水は燈籠もこはくおぼすらん,燈籠,夏
3244,燈籠にふたゝひともす夜半哉,燈籠,夏
3245,木曽さへも人は死ぬとや高燈籠,高燈籠,夏
3246,冨士はまた暮れぬ内より高燈籠,高燈籠,夏
3247,一つづゝ星はくもりて高燈籠,高燈籠,夏
3248,日の入や星のあたりの高燈籠,高燈籠,夏
3249,火や消えし雲やかゝりし高燈籠,高燈籠,夏
3250,山の端や晝見る寺の高燈籠,高燈籠,夏
3251,あちこちに高燈籠の見ゆる哉,高燈籠,夏
3252,旅に暮れて高燈籠の村に出づ,高燈籠,夏
3253,目じるしや晝は杉夜は高燈籠,高燈籠,夏
3254,痩村やひつそりとして高燈籠,高燈籠,夏
3255,わりなくも宿乞ふ僧や高燈籠,高燈籠,夏
3256,原中や西に當りて高燈籠,高燈籠,夏
3257,鵜のかゝりならてうれしゝ流燈會,燈籠流,夏
3258,鵜のかゝりならてうれしや流燈會,燈籠流,夏
3259,身の罪を水に流して流燈會,燈籠流,夏
3260,身の罪を水に流すか流燈會,燈籠流,夏
3261,女にも生れて見たき踊哉,踊,夏
3262,いざ踊れ溝の蛙ものら猫も,踊,夏
3263,負はれたる子供もせなで踊哉,踊,夏
3264,窓のかげよその二階の踊かな,踊,夏
3265,よし原は猫もうかれておどりけり,踊,夏
3266,住吉は松とりまいて踊かな,踊,夏
3267,袖なくてうき洋服の踊り哉,踊,夏
3268,日がくれて踊りに出たり生身玉,踊,夏
3269,しかすがに胸うちさわぐ踊哉,踊,夏
3270,背の高い人のこにくき踊哉,踊,夏
3271,ちかづきの多過ぎてうき踊哉,踊,夏
3272,やせ村に老もこぞりし踊かな,踊,夏
3273,宵の間の角力くづれて踊哉,踊,夏
3274,踊りけり腰にぶらつく奉加帳,踊,夏
3275,親負うて踊念佛見に行ん,踊,夏
3276,雷のあとを淋しき踊哉,踊,夏
3277,誰そや闇に小石投げこむ踊哉,踊,夏
3278,うき人の袂觸れたる踊哉,踊,夏
3279,歌垣の世は變りたる踊りかな,踊,夏
3280,なまくさき漁村の月の踊かな,踊,夏
3281,英人も露人もましる踊哉,踊,夏
3282,肘白き君が踊の手ぶりかな,踊,夏
3283,一人おきに男女の踊哉,踊,夏
3284,一人置きに女のまじる踊かな,踊,夏
3285,羽打つて小天狗どもの踊哉,踊,夏
3286,羽を打つて小天狗どもの踊かな,踊,夏
3287,魂送り背戸より歸り給ひけり,魂送り,夏
3288,風吹て聖靈いそぐ歸り道,魂送り,夏
3289,送火や朦朧として佛だち,送り火,夏
3290,送火や烟朦朧として佛達,送り火,夏
3291,烏帽子着て送り火たくや白拍子,送り火,夏
3292,送火の煙見上る子どもかな,送り火,夏
3293,送火の何とはなしに灰たまる,送り火,夏
3294,送火の灰の上なり桐一葉,送り火,夏
3295,送火のあとやもうき焦れ石,送り火,夏
3296,送火のもえたちかぬる月夜哉,送り火,夏
3297,送火にさつさと歸り給ひけり,送り火,夏
3298,いざたまへ迎火焚てまゐらせん,苧殻焚く,冬
3299,麻木焚く女ばかりの哀れなり,苧殻焚く,冬
3300,燃えかねて麻木の烟西へ吹く,麻木,冬
3301,やぶ入や皆見覺えの木槿垣,藪入,春
3302,盆過の村靜かなり猿廻し,盆過ぎ,秋
3303,盆過の小草生えたる墓場哉,盆過ぎ,秋
3304,盆過の月明かに雨の音,盆過ぎ,秋
3305,折からの攝待うくる涙かな,摂待,春
3306,攝待のむすび喰ひつゝ別れけり,摂待,春
3307,攝待やむすびにしたる今年米,摂待,春
3308,攝待のすみて淋しき茶堂哉,摂待,春
3309,攝待の施主や佛屋善右衞門,摂待,春
3310,攝待の札所や札の打ち納め,摂待,春
3311,攝待や芝居のやうな子順禮,摂待,春
3312,頓入や納屋をあくれば唐辛子,つと入,新年
3313,衝突入や人の心の見たき哉,つと入,新年
3314,つと入に小袖をかざす寐顔哉,つと入,新年
3315,つと入らでうき人の門を過ぎにけり,つと入,新年
3316,來て見れば取氣に成や辻角力,相撲,秋
3317,相撲見や翁の面に似た親父,相撲,秋
3318,一休の投げつけられし角力哉,相撲,秋
3319,風吹て淋しき宵の角力哉,相撲,秋
3320,くらがりに聲を力の角力哉,相撲,秋
3321,角力見の人上りけり稻荷堂,相撲,秋
3322,夕月や京のはづれの辻角力,相撲,秋
3323,篝焚いて今宵も角力取りけるよ,相撲,秋
3324,朝鴉稽古角力を笑ひけり,相撲,秋
3325,軍配上る時羽織飛び帽子ふる,相撲,秋
3326,四ヶ村に響く角力の大鼓かな,相撲,秋
3327,角力取ると見えて鎭守の土俵哉,相撲,秋
3328,一すぢに勝たんと思ふ角力かな,相撲,秋
3329,善き聲にこなた小錦とよばゝつたり,相撲,秋
3330,四つに組んで贔負の多き角力哉,相撲,秋
3331,りゝしさは四つに組んだる角力哉,相撲,秋
3332,小錦に五人がゝりの角力かな,相撲,秋
3333,天高し角力の大鼓鳴り渡る,相撲,秋
3334,豐年や月明かに宮角力,相撲,秋
3335,角力取の見て居る辻の角力哉,相撲,秋
3336,東柚べし西のし梅や分角力,相撲,秋
3337,大關ト大關ト組ム角力カナ,相撲,秋
3338,マハシ著ケテ子供角力ノ竝ビケリ,相撲,秋
3339,角力取の猪首はつらしふじの山,相撲取,秋
3340,うつくしき秋を名乘るや角力取,相撲取,秋
3341,母親に孝の名もあり角力取,相撲取,秋
3342,いとし妻もつとしもあらす角力取,相撲取,秋
3343,角力取いづれ江戸絹京錦,相撲取,秋
3344,燒栗や妻なき宿の角力取,相撲取,秋
3345,角力取の矢走へ渡る小舟哉,相撲取,秋
3346,年若く前齒折りたる角力取,相撲取,秋
3347,わづらふと聞けばあはれや角力取,相撲取,秋
3348,藥煮て母をいたはる角力取,相撲取,秋
3349,勝角力其夜殿より召されけり,相撲取,秋
3350,相撲取小き妻を持ちてけり,相撲取,秋
3351,角力取負けてぞ歸る月の原,相撲取,秋
3352,憎まれて見にくき顏や相撲取,相撲取,秋
3353,番附にひいき角力を評しけり,相撲取,秋
3354,宮相撲九紋龍と名のりける,相撲取,秋
3355,村角力九紋龍とぞ名のりけり,相撲取,秋
3356,村角力九紋龍とそ名のりける,相撲取,秋
3357,阿波人ハ阿波ノ相撲ヲヒイキカナ,相撲取,秋
3358,幾秋ヲ負ケテ老イヌル角力カナ,相撲取,秋
3359,大關ニナラデ老イヌル角力カナ,相撲取,秋
3360,角力取ニ角力取ノ子モナカリケリ,相撲取,秋
3361,幕ノ内ニナツテ故郷ニ歸リケリ,相撲取,秋
3362,十徳の打そろふたる会式哉,御命講,冬
3363,佐渡へ行く舟よびもどせ御命講,御命講,冬
3364,町内の年寄はかりや御命講,御命講,冬
3365,日の入や法師居竝ぶ御命講,御命講,冬
3366,御命講の花かつぎ行く夕日哉,御命講,冬
3367,築地派のお講淋しや普請中,御命講,冬
3368,御命講や寺につたはる祖師の筆,御命講,冬
3369,饅頭買ふて連に分つやお命講,御命講,冬
3370,放生會して心よくぬる夜かな,放生会,秋
3371,母親を負ふて出でけり御遷宮,御遷宮,秋
3372,秋はまた春の殘りの三阿彌陀,後の彼岸,秋
3373,うまさうに見れば彼岸の燒茄子,後の彼岸,秋
3374,富士は曇り筑波は秋の彼岸哉,後の彼岸,秋
3375,山吹の歸花見る彼岸哉,後の彼岸,秋
3376,山吹の花歸りさく彼岸かな,後の彼岸,秋
3377,オ萩クバル彼岸ノ使行キ逢ヒヌ,後の彼岸,秋
3378,梨腹モ牡丹餅腹モ彼岸カナ,後の彼岸,秋
3379,うつくしきものなげこむやせがき舟,施餓鬼,夏
3380,施餓鬼舟向ふの岸はなかりけり,施餓鬼,夏
3381,水底の亡者やさわぐ施餓鬼舟,施餓鬼,夏
3382,施餓鬼會や水音更る後夜の鐘,施餓鬼,夏
3383,淋しさや施餓鬼のあとの火の光,施餓鬼,夏
3384,施餓鬼舟はや龍王も浮ぶべし,施餓鬼,夏
3385,殘る蚊の痩せてあはれや施餓鬼棚,施餓鬼,夏
3386,水の音施餓鬼涼しき灯影哉,施餓鬼,夏
3387,門前の川に灯ともす施餓鬼哉,施餓鬼,夏
3388,由緒ありて泥鰌施餓鬼と申けり,施餓鬼,夏
3389,夜更けて施餓鬼の燈籠流しけり,施餓鬼,夏
3390,石佛に水をかけたる施餓鬼哉,施餓鬼,夏
3391,餓鬼モ食ヘ闇ノ夜中ノ鰌汁,施餓鬼,夏
3392,朝顏ノ盛過ギタル施餓鬼カナ,施餓鬼,夏
3393,宿の菊天長節をしらせばや,天長節,秋
3394,海晴れて天長節の日和かな,天長節,秋
3395,草の戸や天長節の小豆飯,天長節,秋
3396,唱歌聞ゆ天長節の朝日哉,天長節,秋
3397,畑打の天長節を知らぬかな,天長節,秋
3398,粥にする天長節の小豆飯,天長節,秋
3399,人も來ぬ天長節の病哉,天長節,秋
3400,一日の秋にぎやかに祭りかな,秋祭,秋
3401,村會に秋の祭の日のべかな,秋祭,秋
3402,武藏野は稻刈る秋と成りにけり,稲刈,秋
3403,稻刈て近道もどる牛のむれ,稲刈,秋
3404,早稻刈て大黒笑ふ聲す也,稲刈,秋
3405,稻刈りや雨ならんとして山近し,稲刈,秋
3406,稻刈るや燒場の煙たゝぬ日に,稲刈,秋
3407,脛に立つ水田の晩稻刈る日かな,稲刈,秋
3408,鶴一羽稻刈るあとの夕日哉,稲刈,秋
3409,見下せば里は稻刈る日和かな,稲刈,秋
3410,早稻刈れば晩稻のうらむ實入哉,稲刈,秋
3411,稻刈の鎌持つて女見返しぬ,稲刈,秋
3412,子を負ふて女痩田の稻を刈る,稲刈,秋
3413,順禮や稲刈るわざを見て過る,稲刈,秋
3414,道ばたや稻刈る男こぐ女,稲刈,秋
3415,早稻晩稻刈るや東海道長し,稲刈,秋
3416,早稻刈ていまだ晩稻の殘りけり,稲刈,秋
3417,稻刈りて眞宗寺の殘りけり,稲刈,秋
3418,稻借りて村會開く小村かな,稲刈,秋
3419,稲刈りて地藏に化ける狸かな,稲刈,秋
3420,稻刈るは父こぐは母這ふは子よ,稲刈,秋
3421,稲つけて馬が行くなり稻の中,稲刈,秋
3422,股を沒す水田の稻の刈りにくき,稲刈,秋
3423,股引の女稻刈る水深み,稲刈,秋
3424,遠村に稻刈る人の小さゝよ,稲刈,秋
3425,稻掛けて梢短き竝木かな,稲掛,秋
3426,稻掛けて家まばら也谷の底,稲掛,秋
3427,稻掛けて神南村の時雨哉,稲掛,秋
3428,稻舟に棹とり馴れぬ女かな,稲舟,秋
3429,稻舟や野菊の渚蓼の岸,稲舟,秋
3430,稻舟に棹取り馴れし女かな,稲舟,秋
3431,稻積んで車推し行く親子哉,稲車,秋
3432,稻つんで子供載せたる車哉,稲車,秋
3433,稻こくや街道狹き藁の束,稲扱,秋
3434,街道を尻に稻こく女かな,稲扱,秋
3435,問へど答へずひとり稻こく女かな,稲扱,秋
3436,藁積んで地藏わびしや道の端,稲扱,秋
3437,夕榮や稻こぐ嫁の赤き顔,稲扱,秋
3438,あぜ豆のつぎめは青し稻莚,稲筵,秋
3439,あぜ豆のつぎめは白し稻莚,稲筵,秋
3440,高低に螽とぶなり稻むしろ,稲筵,秋
3441,夜嵐のあとくぼみけり稻莚,稲筵,秋
3442,一條も九條も見えず稻莚,稲筵,秋
3443,稻莚朝日わつかに上りけり,稲筵,秋
3444,稻莚九條あたりは見えぬ也,稲筵,秋
3445,四國路や小山の底の稻莚,稲筵,秋
3446,はせ違ふ氣車のかけりや稻莚,稲筵,秋
3447,はせ違ふ氣車の行方や稻莚,稲筵,秋
3448,松山の城を載せたり稻莚,稲筵,秋
3449,雨雲の夕榮すなり稻莚,稲筵,秋
3450,稻莚國旗立てたる村見ゆる,稲筵,秋
3451,詩經には籾摺歌こそ入れたけれ,籾すり,秋
3452,道はたの籾すり臼や蓼老いぬ,籾すり,秋
3453,籾すりのすみし小村や猿まはし,籾すり,秋
3454,風吹て籾のほこりのゆがみけり,籾干,秋
3455,籾干すや鷄遊ぶ門の内,籾干,秋
3456,駒とめて何事問ふぞ毛見の人,毛見,春
3457,旅人をさびしからする鳴子哉,鳴子,秋
3458,西行の子とは思へず鳥おどし,鳴子,秋
3459,どこで引くとしらで廣がる鳴子哉,鳴子,秋
3460,一日は鳴子も引かず村まつり,鳴子,秋
3461,稻妻にひとゆりゆれる鳴子かな,鳴子,秋
3462,思ひ出し思ひ出しひく鳴子哉,鳴子,秋
3463,砧よりふしむつかしき鳴子哉,鳴子,秋
3464,こちで引けばあちでも引くや鳴子繩,鳴子,秋
3465,淋しさにうつむいて引く鳴子哉,鳴子,秋
3466,旅人を追かけてひく鳴子哉,鳴子,秋
3467,何げなく引けと鳴子のすさましき,鳴子,秋
3468,引板繩にふしを動かす夜明哉,鳴子,秋
3469,鳴子引晝から秋をなぶりけり,鳴子,秋
3470,引てから耳たてゝ聞く鳴子哉,鳴子,秋
3471,引けば引くものよ一日鳴子引,鳴子,秋
3472,引張て耳たてゝゐる鳴子哉,鳴子,秋
3473,ひとりゆれひとり驚く鳴子かな,鳴子,秋
3474,行秋や案山子にかゝる鳴子繩,鳴子,秋
3475,小山田に秋をひろげる鳴子哉,鳴子,秋
3476,風吹て山本遠き鳴子哉,鳴子,秋
3477,山里にひとりゆれたる鳴子哉,鳴子,秋
3478,夜に入りて音の遠のく鳴子哉,鳴子,秋
3479,餘り淋し鳥なと飛ばせ鳴子引,鳴子,秋
3480,あれよあれよ鳴子に鳥のとぶことよ,鳴子,秋
3481,親が子が妻が代りて鳴子哉,鳴子,秋
3482,五六間に鳴子盡きたる山田哉,鳴子,秋
3483,田は刈りぬ鳴子の縄のすぢかひに,鳴子,秋
3484,鳴ることは風にまかする鳴子哉,鳴子,秋
3485,わびて誰鳴子に鈴の音すなり,鳴子,秋
3486,鳴子画いて圍ひの外に鳥一羽,鳴子,秋
3487,鳴子さげて鷄さげて惡和尚行く,鳴子,秋
3488,鳴子なくて鳥飛びぬ敵隱れたり,鳴子,秋
3489,鳴子引いて旅人おどす思ひあり,鳴子,秋
3490,鳴子引晝飯くふて休みけり,鳴子,秋
3491,痩畑に鳴子引くこともなかりけり,鳴子,秋
3492,痩畑の鳴子引くこともなかりけり,鳴子,秋
3493,我戀は鳴子の繩のきれてけり,鳴子,秋
3494,粟の穂に倒れかゝりし鳴子哉,鳴子,秋
3495,粟の穂にもたれかゝりし鳴子哉,鳴子,秋
3496,僧の老の鳴子引く罪後世近し,鳴子,秋
3497,手こたへは繩のきれたる鳴子哉,鳴子,秋
3498,鳴子引く家陰の粟や三坪程,鳴子,秋
3499,鳴子引く僧の後生や臼の餓鬼,鳴子,秋
3500,ぬす人のふりかへりたる案山子哉,案山子,秋
3501,人をみなからすと思ふかゞし哉,案山子,秋
3502,くづれてはむかしにかへるかゝしかな,案山子,秋
3503,世の中の人や案山子の出來不出來,案山子,秋
3504,汝かゞしそもさんか秋の第一義,案山子,秋
3505,餘所のよりおのがつくつた案山子哉,案山子,秋
3506,をかしうに出來てかゞしの哀也,案山子,秋
3507,不器用に出來て案山子のあはれ也,案山子,秋
3508,秋風としらずにやせる案山子哉,案山子,秋
3509,案山子にも目鼻ありける浮世哉,案山子,秋
3510,缺徳利字山田の案山子哉,案山子,秋
3511,笠とれたあとはものうき案山子哉,案山子,秋
3512,笠とれば跡は物うき案山子哉,案山子,秋
3513,君が代は案山子に殘る弓矢哉,案山子,秋
3514,試みに案山子の口に笛入れん,案山子,秋
3515,淋しさにたへてうつむく案山子哉,案山子,秋
3516,菅笠のくさりて落ちしかゞし哉,案山子,秋
3517,世の中につれぬ案山子の弓矢哉,案山子,秋
3518,朝見れば笠落したる案山子哉,案山子,秋
3519,落武者を紛らしてやる案山子哉,案山子,秋
3520,風吹て狂ふに似たる案山子哉,案山子,秋
3521,風簑を吹て案山子入相を勇むかと,案山子,秋
3522,魂はふくべなりけり痩案山子,案山子,秋
3523,どちらから見てもうしろの案山子哉,案山子,秋
3524,山颪くるや案山子の片くづれ,案山子,秋
3525,山畑は笠に雲おく案山子哉,案山子,秋
3526,笠落ちて案山子仰むく姿あり,案山子,秋
3527,兀然ときりかぎ畑の案山子哉,案山子,秋
3528,血に染むやいくさのあとのこけ案山子,案山子,秋
3529,敵死して案山子の笠の血しほ哉,案山子,秋
3530,向きあふて何を二つの案山子哉,案山子,秋
3531,笠ぬげて手拭かぶる案山子哉,案山子,秋
3532,兼平の塚を案山子の矢先かな,案山子,秋
3533,草摺のちぎれて高き案山子哉,案山子,秋
3534,こしらへて案山子負ひ行く山路哉,案山子,秋
3535,どう見ても案山子に耳はなかりけり,案山子,秋
3536,人立つて鳥追舟の案山子哉,案山子,秋
3537,人に似て月夜の案山子あはれなり,案山子,秋
3538,男ばかりと見えて案山子の哀れ也,案山子,秋
3539,あるが中に最も愚なる案山子哉,案山子,秋
3540,大水を踏みこたえたるかゞし哉,案山子,秋
3541,案山子にも劣りし人の行へかな,案山子,秋
3542,こけもせでやつれ行く身の案山子哉,案山子,秋
3543,村會や背戸の案山子もまかり出よ,案山子,秋
3544,刈あとやひとり案山子の影法師,案山子,秋
3545,其中にもつとも愚なるかゝし哉,案山子,秋
3546,梺田の夕日に多き案山子哉,案山子,秋
3547,十年の狂態今に案山子哉,案山子,秋
3548,徳利の頬冠する案山子哉,案山子,秋
3549,其中に把栗の如き案山子かな,案山子,秋
3550,雀祝ひ鼠よろこぶや今年米,今年米,秋
3551,神を祝ふ小豆の飯や今年米,今年米,秋
3552,つみあげて庄屋ひれふす年貢哉,年貢納め,冬
3553,道々にこぼるゝ年のみつぎ哉,年貢納め,冬
3554,挽きをさめ牛も年貢の車哉,年貢納め,冬
3555,すつと拔きすつと細るや牛房引,牛蒡引く,秋
3556,浪人の力ためしや牛蒡引,牛蒡引く,秋
3557,牛蒡肥えて鎭守の祭近よりぬ,牛蒡引く,秋
3558,莨干す壁に西日のよわりかな,煙草干す,秋
3559,ほしわたやふし見る脊戸の一むしろ,棉摘,秋
3560,片隅を牛の蹴返す綿むしろ,棉摘,秋
3561,日あたりや棉も干し犬も寐る戸口,棉摘,秋
3562,日あたりや綿も干し猫も寐る戸口,棉摘,秋
3563,木棉取高雄の紅葉まだ早し,棉摘,秋
3564,大水のあとに取るべき綿もなし,棉摘,秋
3565,洪水のあとに取るべき棉もなし,棉摘,秋
3566,蘆刈や一里四方に木も見えず,芦刈,秋
3567,蘆刈や誰が行末の紺しぼり,芦刈,秋
3568,蘆刈や見廻すかきり雲の峰,芦刈,秋
3569,刈ル蘆やひきぬく蘆もまじりけり,芦刈,秋
3570,笠一ツ動いて行くや木賊刈,木賊刈る,秋
3571,子を負ふて木賊刈る里の女哉,木賊刈る,秋
3572,蓋とれば京の匂ひの柚味噌哉,柚味噌,冬
3573,鯛もなし柚味噌淋しき膳の上,柚味噌,冬
3574,江湖部屋に頭竝べる柚味噌哉,柚味噌,冬
3575,木守りの終に柚味噌とならん哉,柚味噌,冬
3576,客あり柚味噌探し得つ只一つ,柚味噌,冬
3577,こゝろみに柚味噌を製す居士二人,柚味噌,冬
3578,小僧既に柚味噌の底を叩きけり,柚味噌,冬
3579,昨夜星落ち今朝柚味噌到る,柚味噌,冬
3580,禪寺の柚味噌ねらふや白藏主,柚味噌,冬
3581,貧厨や柚味噌殘りて鼠鳴く,柚味噌,冬
3582,柚の玉味噌火焔を吐かんとす,柚味噌,冬
3583,柚の木兀として京極に柚味噌出づ,柚味噌,冬
3584,柚味噌買ふて愚庵がもとに茶を乞はん,柚味噌,冬
3585,柚味噌買ふて吉田の里に歸りけり,柚味噌,冬
3586,柚味噌盡きて更に梅干を愛す哉,柚味噌,冬
3587,柚味噌の蓋釜の蓋程に切り拔けり,柚味噌,冬
3588,老僧や手底に柚味噌の味噌を點す,柚味噌,冬
3589,我ねぶり彼なめる柚味噌一つ哉,柚味噌,冬
3590,われ病んで京の柚味噌の喰ひたかり,柚味噌,冬
3591,釜こげる柚子の上味噌つめたかり,柚味噌,冬
3592,禁酒して茶の道に入る柚味噌哉,柚味噌,冬
3593,小包の歪みし柚味噌とり出しぬ,柚味噌,冬
3594,尻焦けし柚味噌の釜や古疊,柚味噌,冬
3595,膳もなき疊の上の柚味噌哉,柚味噌,冬
3596,冷酒や柚味噌を炙る古火桶,柚味噌,冬
3597,碧梧桐の卷鮓虚子の柚味噌哉,柚味噌,冬
3598,堀盡す柚味噌の釜や焦くさき,柚味噌,冬
3599,柚味噌燒く雨の夕や菊百句,柚味噌,冬
3600,老禪師柚味噌の狂歌詠まれたり,柚味噌,冬
3601,露月黙し柚味噌つぶやく別かな,柚味噌,冬
3602,六句目にさし合のある柚味噌哉,柚味噌,冬
3603,草庵や柚味噌賣る店遠からず,柚味噌,冬
