ID,Haiku,Tokens,IDs
1867,この樹下に家ゐし十年椎若葉,"['此の/コノ/この/連体詞', '樹下/ジュカ/樹下/名詞', 'に/ニ/に/助詞', '家/イエ/家/名詞', '居る/イル/ゐる/動詞', 'し/シ/し/助詞', '10/ジュー/十/名詞', '年/トシ/年/名詞', '椎/シー/椎/名詞', '若葉/ワカバ/若葉/名詞']","[869, 4632, 21, 763, 441, 223, 390, 611, 4626, 3041]"
1868,樟多き熊本城の若葉かな,"['樟/クスノキ/樟/名詞', '多い/オーイ/多し/形容詞', '熊本/クマモト/熊本/名詞', '城/シロ/城/接尾辞', 'の/ノ/の/助詞', '若葉/ワカバ/若葉/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[2641, 1984, 4633, 4634, 18, 3041, 27, 28]"
1869,神事近き作り舞台や楠若葉,"['神事/シンジ/神事/名詞', '近い/チカイ/近し/形容詞', '作り/ツクリ/作り/名詞', '舞台/ブタイ/舞台/名詞', 'や/ヤ/や/助詞', '楠/クスノキ/楠/名詞', '若葉/ワカバ/若葉/名詞']","[4635, 4166, 4636, 4637, 19, 3209, 3041]"
1870,樟若葉樟一木のほとけかな,"['樟/クスノキ/樟/名詞', '若葉/ワカバ/若葉/名詞', '樟/クスノキ/樟/名詞', '1/イチ/一/名詞', '木/キ/木/名詞', 'の/ノ/の/助詞', '仏/フツ/ほとけ/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[2641, 3041, 2641, 180, 182, 18, 4638, 27, 28]"
1871,ひざの上に常磐木落葉してありぬ,"['膝/ヒザ/ひざ/名詞', 'の/ノ/の/助詞', '上/ウエ/上/名詞', 'に/ニ/に/助詞', '常磐木/トキワギ/常磐木/名詞', '落葉/ラクヨー/落葉/名詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', '有る/アル/ある/動詞', 'ず/ズ/ぬ/助動詞']","[4420, 18, 76, 21, 4639, 3231, 16, 39, 99, 70]"
1872,もちの葉の四五枚落ちて裏表,"['もち/モチ/もち/名詞', 'の/ノ/の/助詞', '葉/ハ/葉/名詞', 'の/ノ/の/助詞', '45/ヨンジューゴ/四五/名詞', '枚/マイ/枚/接尾辞', '落ちる/オチル/落ちる/動詞', 'て/テ/て/助詞', '裏表/ウラオモテ/裏表/名詞']","[4640, 18, 332, 18, 4641, 322, 1180, 39, 4642]"
1873,この神に仕へ常磐木落葉掻く,"['此の/コノ/この/連体詞', '神/カミ/神/名詞', 'に/ニ/に/助詞', '仕える/ツカエル/仕ふ/動詞', '常磐木/トキワギ/常磐木/名詞', '落葉/ラクヨー/落葉/名詞', '掻く/カク/掻く/動詞']","[869, 3440, 21, 4643, 4639, 3231, 2793]"
1874,ひらひらと樫の落葉や藪表,"['ひらひら/ヒラヒラ/ひらひら/副詞', 'と/ト/と/助詞', '樫/カシ/樫/名詞', 'の/ノ/の/助詞', '落葉/ラクヨー/落葉/名詞', 'や/ヤ/や/助詞', '藪/ヤブ/藪/名詞', '表/ヒョー/表/名詞']","[4644, 67, 3687, 18, 3231, 19, 769, 4645]"
1875,神さびや椎の落葉をふらしつゝ,"['神さびる/カミサビル/神さびる/動詞', 'や/ヤ/や/助詞', '椎/シー/椎/名詞', 'の/ノ/の/助詞', '落葉/ラクヨー/落葉/名詞', 'を/ヲ/を/助詞', '降らす/フラス/ふらす/動詞', 'つつ/ツツ/つつ/助詞']","[4646, 19, 4626, 18, 3231, 31, 4647, 2020]"
1876,椎若葉老の乞食に野犬狎れ,"['椎/シー/椎/名詞', '若葉/ワカバ/若葉/名詞', '老/ロー/老/接尾辞', 'の/ノ/の/助詞', '乞食/コジキ/乞食/名詞', 'に/ニ/に/助詞', '野犬/ヤケン/野犬/名詞', '慣れる/ナレル/狎れる/動詞']","[4626, 3041, 4648, 18, 4649, 21, 4650, 4651]"
1877,裏径の椎若葉踏む静けさよ,"['裏/ウラ/裏/名詞', '径/ミチ/径/名詞', 'の/ノ/の/助詞', '椎/シー/椎/名詞', '若葉/ワカバ/若葉/名詞', '踏む/フム/踏む/動詞', '静けさ/シズケサ/静けさ/名詞', 'よ/ヨ/よ/助詞']","[375, 4652, 18, 4626, 3041, 538, 1187, 184]"
1878,いつまでも樟落葉掃く音つづく,"['いつ/イツ/いつ/代名詞', 'まで/マデ/まで/助詞', 'も/モ/も/助詞', '樟/クスノキ/樟/名詞', '落葉/ラクヨー/落葉/名詞', '掃く/ハク/掃く/動詞', '音/オト/音/名詞', '続く/ツズク/つづく/動詞']","[1883, 974, 11, 2641, 3231, 1040, 315, 1810]"
1879,弾み落つ月の出頃の夏落葉,"['弾み/ハズミ/弾み/名詞', '落ちる/オチル/落つ/動詞', '月/ツキ/月/名詞', 'の/ノ/の/助詞', '出/デ/出/名詞', '頃/コロ/頃/名詞', 'の/ノ/の/助詞', '夏/ナツ/夏/名詞', '落葉/ラクヨー/落葉/名詞']","[4653, 2120, 115, 18, 3846, 1720, 18, 3070, 3231]"
1880,日覆にその日その日の楠落葉,"['日覆い/ヒオイ/日覆/名詞', 'に/ニ/に/助詞', '其の/ソノ/その/連体詞', '日/ヒ/日/名詞', '其の/ソノ/その/連体詞', '日/ヒ/日/名詞', 'の/ノ/の/助詞', '楠/クスノキ/楠/名詞', '落葉/ラクヨー/落葉/名詞']","[4654, 21, 926, 231, 926, 231, 18, 3209, 3231]"
1881,清瀧や波に散込む青松葉,"['清瀧/キヨタキ/清瀧/名詞', 'や/ヤ/や/助詞', '波/ナミ/波/名詞', 'に/ニ/に/助詞', '散/サン/散/名詞', '込む/コム/込む/動詞', '青/アオ/青/名詞', '松葉/マツバ/松葉/名詞']","[4655, 19, 2308, 21, 4656, 1848, 1870, 3264]"
1882,蛸壺に松の落葉の溜りけり,"['蛸壺/タコツボ/蛸壺/名詞', 'に/ニ/に/助詞', '松/マツ/松/名詞', 'の/ノ/の/助詞', '落葉/ラクヨー/落葉/名詞', 'の/ノ/の/助詞', '溜まる/タマル/溜る/動詞', 'けり/ケリ/けり/助動詞']","[4657, 21, 1140, 18, 3231, 18, 4658, 301]"
1883,松落葉吹よせられて海人の墓,"['松/マツ/松/名詞', '落葉/ラクヨー/落葉/名詞', '吹き/フキ/吹/接尾辞', '寄せる/ヨセル/よせる/動詞', 'られる/ラレル/られる/助動詞', 'て/テ/て/助詞', '海人/アマ/海人/名詞', 'の/ノ/の/助詞', '墓/ハカ/墓/名詞']","[1140, 3231, 4320, 4659, 2729, 39, 4660, 18, 1089]"
1884,降りしきる松葉に日傘かざしけり,"['降る/フル/降る/動詞', '仕切る/シキル/しきる/動詞', '松葉/マツバ/松葉/名詞', 'に/ニ/に/助詞', '日傘/ヒガサ/日傘/名詞', 'かざす/カザス/かざす/動詞', 'けり/ケリ/けり/助動詞']","[498, 4661, 3264, 21, 4662, 4663, 301]"
1885,松葉散る松の緑の伸びにけり,"['松葉/マツバ/松葉/名詞', '散る/チル/散る/動詞', '松/マツ/松/名詞', 'の/ノ/の/助詞', '緑/ミドリ/緑/名詞', 'の/ノ/の/助詞', '伸び/ノビ/伸び/名詞', 'に/ニ/に/助詞', '蹴る/ケル/ける/動詞']","[3264, 757, 1140, 18, 3100, 18, 4664, 21, 1034]"
1886,松落葉厨の水の中までも,"['松/マツ/松/名詞', '落葉/ラクヨー/落葉/名詞', '厨/クリヤ/厨/名詞', 'の/ノ/の/助詞', '水/ミズ/水/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞', 'まで/マデ/まで/助詞', 'も/モ/も/助詞']","[1140, 3231, 1946, 18, 177, 18, 243, 974, 11]"
1887,杜国の墓絶えず潮風松落葉,"['杜国/モリコク/杜国/名詞', 'の/ノ/の/助詞', '墓/ハカ/墓/名詞', '絶える/タエル/絶える/動詞', 'ず/ズ/ず/助動詞', '潮風/シオカゼ/潮風/名詞', '松/マツ/松/名詞', '落葉/ラクヨー/落葉/名詞']","[4665, 18, 1089, 2117, 3, 4666, 1140, 3231]"
1888,松葉ちる嵐や磯は波の花,"['松葉/マツバ/松葉/名詞', '散る/チル/ちる/動詞', '嵐/アラシ/嵐/名詞', 'や/ヤ/や/助詞', '磯/イソ/磯/名詞', 'は/ワ/は/助詞', '波の花/ナミノハナ/波の花/名詞']","[3264, 506, 4667, 19, 912, 43, 4668]"
1889,午淋し塀に影して松葉散る,"['午/ウマ/午/名詞', '寂しい/サビシイ/淋しい/形容詞', '塀/ヘー/塀/名詞', 'に/ニ/に/助詞', '影/カゲ/影/名詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', '松葉/マツバ/松葉/名詞', '散る/チル/散る/動詞']","[1525, 576, 4669, 21, 1022, 16, 39, 3264, 757]"
1890,家まはり山風めきて松落葉,"['家/イエ/家/名詞', 'まはり/マハリ/まはり/名詞', '山風/ヤマカゼ/山風/名詞', 'めく/メク/めく/接尾辞', 'て/テ/て/助詞', '松/マツ/松/名詞', '落葉/ラクヨー/落葉/名詞']","[763, 2762, 1335, 1120, 39, 1140, 3231]"
1891,杉落葉かぶる庇や坊どまり,"['杉/スギ/杉/名詞', '落葉/ラクヨー/落葉/名詞', '被る/コームル/かぶる/動詞', '庇/ヒサシ/庇/名詞', 'や/ヤ/や/助詞', '坊/ボー/坊/名詞', 'とまり/トマリ/どまり/名詞']","[840, 3231, 4670, 3650, 19, 4671, 4672]"
1892,杉落葉雨流れたる跡のあり,"['杉/スギ/杉/名詞', '落葉/ラクヨー/落葉/名詞', '雨/アメ/雨/接尾辞', '流れ/ナガレ/流れ/名詞', 'たり/タリ/たり/助動詞', '跡/アト/跡/名詞', 'の/ノ/の/助詞', '有り/アリ/あり/名詞']","[840, 3231, 2892, 3040, 33, 2243, 18, 430]"
1893,杉落葉かゝれる枝の木の間かな,"['杉/スギ/杉/名詞', '落葉/ラクヨー/落葉/名詞', '掛かる/カカル/かかれる/動詞', '枝/エダ/枝/名詞', 'の/ノ/の/助詞', '木の間/コノマ/木の間/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[840, 3231, 2297, 817, 18, 2453, 27, 28]"
1894,高原の観光ホテル夏蕨,"['高原/コーゲン/高原/名詞', 'の/ノ/の/助詞', '観光/カンコー/観光/名詞', 'ホテル/ホテル/ホテル/名詞', '夏/ナツ/夏/名詞', '蕨/ワラビ/蕨/名詞']","[4673, 18, 4674, 4675, 3070, 2215]"
1895,くるしくも雨こゆる野や夏蕨,"['苦しい/クルシイ/くるしい/形容詞', 'も/モ/も/助詞', '雨/アメ/雨/名詞', 'こ/コ/こ/接頭辞', '緩い/ユルイ/ゆるい/形容詞', '野/ノ/野/接尾辞', 'や/ヤ/や/助詞', '夏/ナツ/夏/名詞', '蕨/ワラビ/蕨/名詞']","[4676, 11, 103, 2769, 991, 470, 19, 3070, 2215]"
1896,鳥啼いて谷静かなり夏蕨,"['鳥/トリ/鳥/名詞', '鳴く/ナク/啼く/動詞', 'て/テ/て/助詞', '谷/タニ/谷/名詞', '静/セー/静/名詞', '可成/カナリ/かなり/副詞', '夏/ナツ/夏/名詞', '蕨/ワラビ/蕨/名詞']","[550, 1017, 39, 104, 4677, 4678, 3070, 2215]"
1897,夏蕨さげて下り来ぬとぼ／＼と,"['夏/ナツ/夏/名詞', '蕨/ワラビ/蕨/名詞', '下げる/サゲル/さげる/動詞', 'て/テ/て/助詞', '下る/クダル/下る/動詞', '来る/クル/来る/動詞', 'ず/ズ/ぬ/助動詞', '飛ぶ/トブ/とぶ/動詞', '//／///補助記号', '\\/￥/\\/補助記号', 'と/ト/と/助詞']","[3070, 2215, 1669, 39, 554, 69, 70, 971, 118, 119, 67]"
1898,草庵の垣根草なり夏蕨,"['草庵/ソーアン/草庵/名詞', 'の/ノ/の/助詞', '垣根/カキネ/垣根/名詞', '草/クサ/草/名詞', 'なり/ナリ/なり/助詞', '夏/ナツ/夏/名詞', '蕨/ワラビ/蕨/名詞']","[4679, 18, 2115, 48, 433, 3070, 2215]"
1899,たけのこや稚き時の絵のすさび,"['竹の子/タケノコ/たけのこ/名詞', 'や/ヤ/や/助詞', '稚/ヤヤ/稚/名詞', 'き/キ/き/助動詞', '時/トキ/時/名詞', 'の/ノ/の/助詞', '絵/エ/絵/名詞', 'の/ノ/の/助詞', '遊び/アソビ/すさび/名詞']","[4680, 19, 4528, 82, 159, 18, 30, 18, 4681]"
1900,竹の子や兒の歯ぐきの美しき,"['竹の子/タケノコ/竹の子/名詞', 'や/ヤ/や/助詞', '兒/兒/兒/名詞', 'の/ノ/の/助詞', '歯茎/ハグキ/歯ぐき/名詞', 'の/ノ/の/助詞', '美しい/ウツクシイ/美し/形容詞']","[4682, 19, 4683, 18, 4684, 18, 3098]"
1901,たけの子や畠隣に悪太郎,"['たけ/タケ/たけ/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞', 'や/ヤ/や/助詞', '畠/ハタケ/畠/名詞', '隣/トナリ/隣/名詞', 'に/ニ/に/助詞', '悪太郎/アクタロー/悪太郎/名詞']","[2584, 18, 541, 19, 408, 2048, 21, 4685]"
1902,掘食ふ我たかうなの細きかな,"['掘り/ホリ/掘/名詞', '食う/クウ/食ふ/動詞', '我/ワレ/我/代名詞', 'た/タ/た/助動詞', 'か/カ/か/助詞', 'うー/ウー/う/感動詞', 'だ/ダ/だ/助動詞', 'の/ノ/の/助詞', '細い/ホソイ/細い/形容詞', '来る/クル/くる/動詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[3229, 1610, 610, 188, 27, 609, 9, 18, 665, 2059, 27, 28]"
1903,筍や目黒の美人ありやなし,"['竹の子/タケノコ/筍/名詞', 'や/ヤ/や/助詞', '目黒/メグロ/目黒/名詞', 'の/ノ/の/助詞', '美人/ビジン/美人/名詞', '有り/アリ/あり/名詞', 'や/ヤ/や/助詞', 'なし/ナシ/なし/名詞']","[3999, 19, 4686, 18, 4687, 430, 19, 700]"
1904,筍の光放つてむかれけり,"['竹の子/タケノコ/筍/名詞', 'の/ノ/の/助詞', '光/ヒカリ/光/名詞', '放つ/ハナツ/放つ/動詞', 'て/テ/て/助詞', 'むく/ムク/むく/動詞', 'れる/レル/れる/助動詞', 'けり/ケリ/けり/助動詞']","[3999, 18, 723, 2701, 39, 3419, 222, 301]"
1905,たかんなの土出でてなほ鬱々と,"['た/タ/た/助動詞', 'かんな/カンナ/かんな/名詞', 'の/ノ/の/助詞', '土/ツチ/土/名詞', '出る/デル/出でる/動詞', 'て/テ/て/助詞', 'な/ナ/な/助詞', 'ほ/ホ/ほ/副詞', '鬱々/ウツウツ/鬱々/形状詞', 'と/ト/と/助詞']","[188, 4688, 18, 350, 1694, 39, 28, 1282, 4689, 67]"
1906,竹の子と品よく遊べ雀の子,"['竹の子/タケノコ/竹の子/名詞', 'と/ト/と/助詞', '品/シナ/品/名詞', '良く/ヨク/よく/副詞', '遊ぶ/アソブ/遊べる/動詞', '雀/スズメ/雀/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞']","[4682, 67, 4690, 1305, 2166, 1057, 18, 541]"
1907,月なゝめたけのこたけになりにけり,"['月/ツキ/月/名詞', '斜め/ナナメ/ななめ/名詞', '竹の子/タケノコ/たけのこ/名詞', 'たけ/タケ/たけ/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', 'ぬ/ヌ/ぬ/助動詞', 'けり/ケリ/けり/助動詞']","[115, 4691, 4680, 2584, 21, 587, 1248, 301]"
1908,筍に嵯峨の山辺は曇りけり,"['竹の子/タケノコ/筍/名詞', 'に/ニ/に/助詞', '嵯峨/サガ/嵯峨/名詞', 'の/ノ/の/助詞', '山辺/ヤマベ/山辺/名詞', 'は/ワ/は/助詞', '曇り/クモリ/曇り/名詞', 'けり/ケリ/けり/助動詞']","[3999, 21, 2093, 18, 3224, 43, 534, 301]"
1909,篠の子や終に絶えたる厠道,"['篠/シノ/篠/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞', 'や/ヤ/や/助詞', '終わり/オワリ/終/名詞', 'に/ニ/に/助詞', '絶える/タエル/絶える/動詞', 'たり/タリ/たり/助動詞', '厠/カワヤ/厠/名詞', '道/ミチ/道/名詞']","[4692, 18, 541, 19, 4002, 21, 2117, 33, 2440, 1576]"
1910,篠の子に温泉の白煙あがりけり,"['篠/シノ/篠/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞', 'に/ニ/に/助詞', '温泉/オンセン/温泉/名詞', 'の/ノ/の/助詞', '白煙/シロケムリ/白煙/名詞', '上がり/アガリ/あがり/接尾辞', 'けり/ケリ/けり/助動詞']","[4692, 18, 541, 21, 3707, 18, 4693, 4694, 301]"
1911,篠の子や小暗き顔のふり返り,"['篠/シノ/篠/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞', 'や/ヤ/や/助詞', '小/ショー/小/接頭辞', '暗い/クライ/暗し/形容詞', '顔/カオ/顔/名詞', 'の/ノ/の/助詞', 'ふる/フル/ふる/動詞', '返る/カエル/返る/動詞']","[4692, 18, 541, 19, 484, 1904, 486, 18, 299, 379]"
1912,松風に筍飯をさましけり,"['松風/マツカゼ/松風/名詞', 'に/ニ/に/助詞', '竹の子/タケノコ/筍/名詞', '飯/メシ/飯/接尾辞', 'を/ヲ/を/助詞', 'さます/サマス/さます/動詞', 'けり/ケリ/けり/助動詞']","[2229, 21, 3999, 3474, 31, 4695, 301]"
1913,卯の花のこぼるゝ蕗の広葉かな,"['卯の花/ウノハナ/卯の花/名詞', 'の/ノ/の/助詞', 'こ/コ/こ/接頭辞', 'ぼる/ボル/ぼる/動詞', 'り/リ/り/助動詞', '蕗/フキ/蕗/名詞', 'の/ノ/の/助詞', '広葉/コウヨウ/広葉/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[4696, 18, 2769, 4697, 41, 3922, 18, 4698, 27, 28]"
1914,井のはたに蕗の広葉や雨そゝぐ,"['井/イ/井/名詞', 'の/ノ/の/助詞', 'はた/ハタ/はた/名詞', 'に/ニ/に/助詞', '蕗/フキ/蕗/名詞', 'の/ノ/の/助詞', '広葉/コウヨウ/広葉/名詞', 'や/ヤ/や/助詞', '雨/アメ/雨/名詞', 'そそぐ/ソソグ/そそぐ/動詞']","[4699, 18, 2245, 21, 3922, 18, 4698, 19, 103, 2568]"
1915,沢水の川となり行く蕗がくれ,"['沢水/サワミズ/沢水/名詞', 'の/ノ/の/助詞', '川/カワ/川/名詞', 'と/ト/と/助詞', '成る/ナル/なる/動詞', '行く/ユク/行く/動詞', '蕗/フキ/蕗/名詞', 'が/ガ/が/助詞', '呉れる/クレル/くれる/動詞']","[4700, 18, 287, 67, 587, 448, 3922, 106, 401]"
1916,寂しければ雨降る蕗に燈を向くる,"['寂しい/サビシイ/寂しい/形容詞', 'ば/バ/ば/助詞', '雨/アメ/雨/名詞', '降る/フル/降る/動詞', '蕗/フキ/蕗/名詞', 'に/ニ/に/助詞', '明かり/アカリ/燈/名詞', 'を/ヲ/を/助詞', '向く/ムク/向く/動詞', 'り/リ/り/助動詞']","[782, 4, 103, 498, 3922, 21, 1114, 31, 4701, 41]"
1917,蕗むくやまた襲ひきし歯のいたみ,"['蕗/フキ/蕗/名詞', '無垢/ムク/むく/名詞', 'や/ヤ/や/助詞', '又/マタ/また/接続詞', '襲/カサネ/襲/名詞', 'ひき/ヒキ/ひき/名詞', '為る/ナル/する/動詞', '歯/ハ/歯/名詞', 'の/ノ/の/助詞', '痛い/イタイ/いたい/形容詞', '味/アジ/み/接尾辞']","[3922, 3296, 19, 1913, 4702, 4703, 16, 706, 18, 4704, 2771]"
1918,やどりせむ藜の杖になる日まで,"['宿る/ヤドル/やどる/動詞', 'せる/セル/せる/助動詞', 'む/ム/む/助動詞', '藜/アカザ/藜/名詞', 'の/ノ/の/助詞', '杖/ツエ/杖/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', '日/ヒ/日/名詞', 'まで/マデ/まで/助詞']","[3213, 806, 751, 4705, 18, 372, 21, 587, 231, 974]"
1919,我寺の藜は杖になりにけり,"['我が/ワガ/我/連体詞', '寺/テラ/寺/名詞', 'の/ノ/の/助詞', '藜/アカザ/藜/名詞', 'は/ワ/は/助詞', '杖/ツエ/杖/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', 'ぬ/ヌ/ぬ/助動詞', 'けり/ケリ/けり/助動詞']","[2231, 779, 18, 4705, 43, 372, 21, 587, 1248, 301]"
1920,隠栖に露いつぱいの藜かな,"['隠棲/インセー/隠栖/名詞', 'に/ニ/に/助詞', '露/ロ/露/名詞', '一杯/イッパイ/いつぱい/副詞', 'の/ノ/の/助詞', '藜/アカザ/藜/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[4706, 21, 1613, 2317, 18, 4705, 27, 28]"
1921,焼跡やあかざの中の蔵住ひ,"['焼け跡/ヤケアト/焼跡/名詞', 'や/ヤ/や/助詞', '藜/アカザ/あかざ/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞', 'の/ノ/の/助詞', '蔵/ゾー/蔵/名詞', '住/ジュー/住/名詞', 'ひ/ヒ/ひ/名詞']","[4707, 19, 4708, 18, 243, 18, 1573, 4342, 129]"
1922,仮名かきうみし子にそらまめをむかせけり,"['仮名/カメー/仮名/名詞', 'かく/カク/かく/動詞', 'うみ/ウミ/うみ/名詞', '為る/ナル/する/動詞', '子/コ/子/名詞', 'に/ニ/に/助詞', '空豆/ソラマメ/そらまめ/名詞', 'を/ヲ/を/助詞', 'むく/ムク/むく/動詞', 'せる/セル/せる/助動詞', 'けり/ケリ/けり/助動詞']","[4709, 1108, 4204, 16, 541, 21, 4710, 31, 3419, 806, 301]"
1923,はじき豆出初めの渋さ懐しき,"['弾き豆/ハジキマメ/はじき豆/名詞', '出初め/デゾメ/出初め/名詞', 'の/ノ/の/助詞', '渋い/シブイ/渋い/形容詞', 'さ/サ/さ/接尾辞', '懐かしい/ナツカシイ/懐し/形容詞']","[4711, 4712, 18, 4713, 403, 4714]"
1924,そらまめの葉裏空色招提寺,"['空豆/ソラマメ/そらまめ/名詞', 'の/ノ/の/助詞', '葉裏/ハウラ/葉裏/名詞', '空/ソラ/空/名詞', '色/イロ/色/名詞', '招提/ショーダイ/招提/名詞', '寺/テラ/寺/接尾辞']","[4710, 18, 4715, 273, 139, 4716, 1451]"
1925,父と子のはしり蚕豆とばしたり,"['父/チチ/父/名詞', 'と/ト/と/助詞', '子/コ/子/名詞', 'の/ノ/の/助詞', '走り/ハシリ/はしり/名詞', '空豆/ソラマメ/蚕豆/名詞', '飛ばす/トバス/とばす/動詞', 'たり/タリ/たり/助詞']","[1512, 67, 541, 18, 3023, 4717, 3196, 89]"
1926,莢豌豆蔓を返してもぎにけり,"['莢豌豆/サヤエンドー/莢豌豆/名詞', '蔓/ヅル/蔓/名詞', 'を/ヲ/を/助詞', '返す/カエス/返す/動詞', 'て/テ/て/助詞', '捥ぐ/モグ/もぐ/動詞', 'ぬ/ヌ/ぬ/助動詞', 'けり/ケリ/けり/助動詞']","[4718, 284, 31, 3634, 39, 4719, 1248, 301]"
1927,びしよぬれの豌豆摘むやほとゝぎす,"['びっ/ビッ/び/副詞', '為る/ナル/する/動詞', '濡れ/ヌレ/ぬれ/名詞', 'の/ノ/の/助詞', '豌豆/エンドー/豌豆/名詞', '摘む/ツマム/摘む/動詞', 'や/ヤ/や/助詞', '時鳥/ホトトギス/ほととぎす/名詞']","[4720, 16, 4721, 18, 3410, 1895, 19, 4722]"
1928,豌豆の実のゆふぐれに主婦かゞむ,"['豌豆/エンドー/豌豆/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞', 'の/ノ/の/助詞', '夕暮れ/ユーグレ/ゆふぐれ/名詞', 'に/ニ/に/助詞', '主婦/シュフ/主婦/名詞', '屈む/カガム/かがむ/動詞']","[3410, 18, 285, 18, 4723, 21, 4724, 4725]"
1929,豌豆の煮えつつ真玉なしにけり,"['豌豆/エンドー/豌豆/名詞', 'の/ノ/の/助詞', '煮える/ニエル/煮える/動詞', 'つつ/ツツ/つつ/助詞', '真玉/マタマ/真玉/名詞', 'なし/ナシ/なし/名詞', 'に/ニ/に/助詞', '蹴る/ケル/ける/動詞']","[3410, 18, 4726, 2020, 4727, 700, 21, 1034]"
1930,ひとづまにえんどうやはらかく煮えぬ,"['人妻/ヒトズマ/ひとづま/名詞', 'に/ニ/に/助詞', 'えんどう/エンドー/えんどう/名詞', 'や/ヤ/や/助詞', 'はら/ハラ/はら/名詞', '斯く/カク/かく/副詞', '煮える/ニエル/煮える/動詞', 'ず/ズ/ぬ/助動詞']","[4728, 21, 4729, 19, 581, 2559, 4726, 70]"
1931,長崎も丸山にゐて豆御飯,"['長崎/ナガサキ/長崎/名詞', 'も/モ/も/助詞', '丸山/マルヤマ/丸山/名詞', 'に/ニ/に/助詞', '居る/イル/ゐる/動詞', 'て/テ/て/助詞', '豆御飯/マメゴハン/豆御飯/名詞']","[4730, 11, 4731, 21, 441, 39, 4732]"
1932,すき嫌ひなくて豆飯豆腐汁,"['すき/スキ/すき/名詞', '嫌い/キライ/嫌ひ/名詞', '無い/ナイ/ない/形容詞', 'て/テ/て/助詞', '豆飯/マメメシ/豆飯/名詞', '豆腐/トーフ/豆腐/名詞', '汁/シル/汁/名詞']","[832, 4733, 68, 39, 4734, 1856, 292]"
1933,豆飯や軒うつくしく暮れてゆく,"['豆飯/マメメシ/豆飯/名詞', 'や/ヤ/や/助詞', '軒/ノキ/軒/名詞', '美しい/ウツクシイ/うつくしい/形容詞', '暮れる/クレル/暮れる/動詞', 'て/テ/て/助詞', '行く/ユク/ゆく/動詞']","[4734, 19, 1748, 2010, 4735, 39, 1020]"
1934,手提置く浜豌豆の花かげに,"['手提げ/テサゲ/手提/名詞', '置く/オク/置く/動詞', '浜豌豆/ハマエンドー/浜豌豆/名詞', 'の/ノ/の/助詞', '花影/ハナカゲ/花かげ/名詞', 'に/ニ/に/助詞']","[4736, 3181, 4737, 18, 4738, 21]"
1935,浜豌豆海のぼる日は雲の中,"['浜豌豆/ハマエンドー/浜豌豆/名詞', '海/ウミ/海/名詞', '上る/ノボル/のぼる/動詞', '日/ヒ/日/名詞', 'は/ワ/は/助詞', '雲/クモ/雲/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞']","[4737, 42, 1969, 231, 43, 419, 18, 243]"
1936,はら／＼と浜豌豆に雨来る,"['はら/ハラ/はら/名詞', '//／///補助記号', '\\/￥/\\/補助記号', 'と/ト/と/助詞', '浜豌豆/ハマエンドー/浜豌豆/名詞', 'に/ニ/に/助詞', '雨/アメ/雨/名詞', '来る/クル/来る/動詞']","[581, 118, 119, 67, 4737, 21, 103, 69]"
1937,芍薬の莟の蟻を払ひけり,"['芍薬/シャクヤク/芍薬/名詞', 'の/ノ/の/助詞', '蕾/ツボミ/莟/名詞', 'の/ノ/の/助詞', '蟻/アリ/蟻/名詞', 'を/ヲ/を/助詞', '払い/ハライ/払/名詞', '干る/ヒル/ひる/動詞', 'けり/ケリ/けり/助動詞']","[1620, 18, 2207, 18, 1044, 31, 2718, 300, 301]"
1938,芍薬の蝕まれたる蕾かな,"['芍薬/シャクヤク/芍薬/名詞', 'の/ノ/の/助詞', '蝕む/ムシバム/蝕む/動詞', 'れる/レル/れる/助動詞', 'たり/タリ/たり/助動詞', '蕾/ツボミ/蕾/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[1620, 18, 4739, 222, 33, 819, 27, 28]"
